tier	cn	eng	slug	source
985	上海交通大学	Shanghai Jiao Tong University	sjtu	soulteary(vec).pdf
985	东北大学	Northeastern University	northeastern	wiki.png
985	东南大学	Southeast University	southeast	shanghairanking.png
985	中南大学	Central South University	centralsouth	shanghairanking.png
985	中国人民大学	Renmin University of China	ruc	soulteary(vec).pdf
985	中国农业大学	China Agricultural University	chinaagricultural	shanghairanking.png
985	中国海洋大学	Ocean University of China	oceanchina	shanghairanking.png
985	中国科学技术大学	University of Science and Technology of China	ustc	soulteary(vec).pdf
985	中山大学	Sun Yat-Sen University	sysu	soulteary(vec).pdf
985	兰州大学	Lanzhou University	lanzhou	shanghairanking.png
985	北京大学	Peking University	pku	soulteary(vec).pdf
985	北京师范大学	Beijing Normal University	beijingnormal	shanghairanking.png
985	北京理工大学	Beijing Institute of Technology	beijinginstitute	shanghairanking.png
985	北京航空航天大学	Beihang University	buaa	soulteary(vec).pdf
985	华东师范大学	East China Normal University	ecnu	soulteary(vec).pdf
985	华中科技大学	Huazhong University of Science and Technology	hust	soulteary(vec).pdf
985	华南理工大学	South China University of Technology	southchina	wiki.png
985	南京大学	Nanjing University	nju	soulteary(vec).pdf
985	南开大学	Nankai University	nankai	shanghairanking.png
985	厦门大学	Xiamen University	xmu	soulteary(vec).pdf
985	吉林大学	Jilin University	jilin	wiki.png
985	同济大学	Tongji University	tongji	soulteary(vec).pdf
985	哈尔滨工业大学	Harbin Institute of Technology	hit	soulteary(vec).pdf
985	四川大学	Sichuan University	sichuan	shanghairanking.png
985	复旦大学	Fudan University	fdu	soulteary(vec).pdf
985	大连理工大学	Dalian University of Technology	dalian	shanghairanking.png
985	天津大学	Tianjin University	tianjin	shanghairanking.png
985	山东大学	Shandong University	sdu	soulteary(vec).pdf
985	武汉大学	Wuhan University	whu	soulteary(vec).pdf
985	浙江大学	Zhejiang University	zju	soulteary(vec).pdf
985	清华大学	Tsinghua University	thu	soulteary(vec).pdf
985	湖南大学	Hunan University	hnu	soulteary(vec).pdf
985	电子科技大学	University of Electronic Science and Technology of China	uestc	soulteary(vec).pdf
985	西北农林科技大学	Northwest A&amp;F University	northwestaampf	wiki.png
985	西北工业大学	Northwestern Polytechnical University	nwpu	soulteary(vec).pdf
985	西安交通大学	Xi'an Jiaotong University	xjtu	soulteary(vec).pdf
985	重庆大学	Chongqing University	chongqing	shanghairanking.png
211	上海大学	Shanghai University	shanghai	shanghairanking.png
211	东北农业大学	Northeast Agricultural University - China	northeastagriculturalchina	shanghairanking.png
211	东北师范大学	Northeast Normal University	northeastnormal	shanghairanking.png
211	东北林业大学	Northeast Forestry University - China	northeastforestrychina	wiki.png
211	东华大学	Donghua University	donghua	wiki.png
211	中国地质大学（北京）	China University of Geosciences (Beijing)	chinageosciencesbeijing	wiki.png
211	中国地质大学（武汉）	China University of Geosciences (Wuhan)	chinageoscienceswuhan	wiki.png
211	中国石油大学（北京）	China University of Petroleum - Beijing	chinapetroleumbeijing	wiki.png
211	中国石油大学（华东）	China University of Petroleum (Huadong)	chinapetroleumhuadong	shanghairanking.png
211	中国矿业大学	China University of Mining and Technology - Xuzhou	chinaminingxuzhou	wiki.png
211	中国矿业大学（北京）	China University of Mining and Technology - Beijing	chinaminingbeijing	copy:chinaminingxuzhou
211	云南大学	Yunnan University	yunnan	shanghairanking.png
211	内蒙古大学	Inner Mongolia University	innermongolia	wiki.png
211	北京交通大学	Beijing jiaotong University	bjtu	soulteary(vec).pdf
211	北京化工大学	Beijing University of Chemical Technology	beijingchemical	shanghairanking.png
211	北京工业大学	Beijing University of Technology	beijing	wiki.png
211	北京林业大学	Beijing Forestry University	beijingforestry	shanghairanking.png
211	北京科技大学	University of Science and Technology Beijing	beijing2	shanghairanking.png
